age,time,start_time,end_time,setting,all drugs,all opioids,stimulants,cannabis,benzodiazepine
16-34 years,27,03/01/2022,03/31/2022,ip,26.719,4.204,3.2511,5.6614,1.4013
16-34 years,27,03/01/2022,03/31/2022,ed,28.8588,1.5162,1.1634,2.0916,0.1722
35-54 years,27,03/01/2022,03/31/2022,ip,37.5584,6.4069,5.368,3.6017,1.3506
35-54 years,27,03/01/2022,03/31/2022,ed,44.6993,2.5752,2.1365,1.4116,0.3243
55+ years,27,03/01/2022,03/31/2022,ip,27.5446,2.4834,1.3116,0.5072,0.4256
55+ years,27,03/01/2022,03/31/2022,ed,46.6905,1.0868,0.7612,0.3845,0.0863
0-15 years,28,04/01/2022,04/30/2022,ip,8.6422,0.8307,0.3355,0.8946,0.0958
0-15 years,28,04/01/2022,04/30/2022,ed,3.853,0.0148,0.0259,0.1964,0.0296
16-34 years,28,04/01/2022,04/30/2022,ip,26.8605,3.6628,2.8876,6.0271,0.8721
16-34 years,28,04/01/2022,04/30/2022,ed,28.0488,1.4165,1.2363,2.1499,0.1467
35-54 years,28,04/01/2022,04/30/2022,ip,37.0635,6.2325,5.0803,3.2647,1.2046
35-54 years,28,04/01/2022,04/30/2022,ed,42.7041,2.5636,2.079,1.2697,0.3102
55+ years,28,04/01/2022,04/30/2022,ip,27.9388,2.4483,1.156,0.5809,0.3735
55+ years,28,04/01/2022,04/30/2022,ed,44.8291,1.0829,0.6459,0.4022,0.1238
0-15 years,29,05/01/2022,05/31/2022,ip,8.4464,0.7861,0.2466,0.7707,0.1541
0-15 years,29,05/01/2022,05/31/2022,ed,3.8416,0.032,0.0096,0.1665,0.0192
16-34 years,29,05/01/2022,05/31/2022,ip,26.5317,3.7017,2.5894,5.1422,0.93
16-34 years,29,05/01/2022,05/31/2022,ed,27.1493,1.4487,1.2589,2.0216,0.2153
35-54 years,29,05/01/2022,05/31/2022,ip,37.6195,6.7964,5.3791,2.8689,1.4003
35-54 years,29,05/01/2022,05/31/2022,ed,42.0403,2.4887,2.2888,1.5315,0.2978
55+ years,29,05/01/2022,05/31/2022,ip,27.7162,2.4332,1.1204,0.5376,0.3169
55+ years,29,05/01/2022,05/31/2022,ed,43.5352,1.1152,0.6587,0.4391,0.1115
0-15 years,30,06/01/2022,06/30/2022,ip,8.4365,0.8795,0.2443,1.0098,0.1466
0-15 years,30,06/01/2022,06/30/2022,ed,3.4956,0.0146,0.0146,0.1644,0.0146
16-34 years,30,06/01/2022,06/30/2022,ip,26.4628,4.1714,3.3598,4.9641,1.2458
16-34 years,30,06/01/2022,06/30/2022,ed,27.094,1.4071,1.2625,1.8683,0.1759
35-54 years,30,06/01/2022,06/30/2022,ip,37.28,6.6803,5.2964,3.0241,1.3668
35-54 years,30,06/01/2022,06/30/2022,ed,40.534,2.4041,2.2049,1.2353,0.2479
55+ years,30,06/01/2022,06/30/2022,ip,27.795,2.8382,1.0996,0.3742,0.3857
55+ years,30,06/01/2022,06/30/2022,ed,44.3359,1.1434,0.8036,0.3682,0.0991
0-15 years,31,07/01/2022,07/31/2022,ip,8.118,1.0845,0.4147,0.7656,0.1435
0-15 years,31,07/01/2022,07/31/2022,ed,3.0861,0.0197,0.0276,0.2089,0.0197
16-34 years,31,07/01/2022,07/31/2022,ip,24.9867,3.4861,3.3268,4.6187,0.6017
16-34 years,31,07/01/2022,07/31/2022,ed,27.298,1.5545,1.1828,2.1328,0.1277
35-54 years,31,07/01/2022,07/31/2022,ip,36.6941,6.4129,5.2469,2.5892,1.4232
35-54 years,31,07/01/2022,07/31/2022,ed,41.0027,2.7315,1.8966,1.293,0.1969
55+ years,31,07/01/2022,07/31/2022,ip,27.62,2.5999,1.1969,0.4982,0.3493
55+ years,31,07/01/2022,07/31/2022,ed,43.326,1.1302,0.6754,0.4582,0.0815
0-15 years,32,08/01/2022,08/31/2022,ip,7.9106,1.0332,0.3701,0.7402,0.0617
0-15 years,32,08/01/2022,08/31/2022,ed,3.3178,0.0235,0.0274,0.133,0.0196
16-34 years,32,08/01/2022,08/31/2022,ip,26.2275,3.5147,2.5963,5.0159,0.7065
16-34 years,32,08/01/2022,08/31/2022,ed,26.8852,1.416,1.1575,2.1952,0.1573
35-54 years,32,08/01/2022,08/31/2022,ip,36.6739,5.9431,5.3438,2.7468,1.1986
35-54 years,32,08/01/2022,08/31/2022,ed,41.2136,2.6569,1.9874,1.4662,0.3093
55+ years,32,08/01/2022,08/31/2022,ip,27.1925,2.4075,1.2426,0.4882,0.3217
55+ years,32,08/01/2022,08/31/2022,ed,43.497,1.2516,0.7278,0.5374,0.0816
0-15 years,33,09/01/2022,09/30/2022,ip,9.0352,0.8961,0.4032,1.0155,0.0747
0-15 years,33,09/01/2022,09/30/2022,ed,4.2506,0.0348,0.0313,0.1948,0.0104
16-34 years,33,09/01/2022,09/30/2022,ip,26.6119,4.0183,3.2511,5.2055,0.8584
16-34 years,33,09/01/2022,09/30/2022,ed,28.5864,1.4478,1.1295,2.5384,0.132
35-54 years,33,09/01/2022,09/30/2022,ip,37.3042,6.3347,5.5956,3.0618,1.2493
35-54 years,33,09/01/2022,09/30/2022,ed,43.5434,2.4429,2.0731,1.8082,0.2694
55+ years,33,09/01/2022,09/30/2022,ip,27.2057,2.515,1.1268,0.4937,0.4588
55+ years,33,09/01/2022,09/30/2022,ed,44.3563,1.1399,0.8044,0.5988,0.1263
0-15 years,34,10/01/2022,10/31/2022,ip,8.0096,0.5954,0.241,0.6946,0.1134
0-15 years,34,10/01/2022,10/31/2022,ed,3.7126,0.0156,0.0124,0.1432,0.0093
16-34 years,34,10/01/2022,10/31/2022,ip,25.9817,3.633,3.4312,4.9908,0.7156
16-34 years,34,10/01/2022,10/31/2022,ed,27.2511,1.3756,1.161,2.9696,0.1916
35-54 years,34,10/01/2022,10/31/2022,ip,36.2657,6.3816,5.435,2.9215,1.1262
35-54 years,34,10/01/2022,10/31/2022,ed,42.4623,2.7014,2.1149,2.0882,0.3599
55+ years,34,10/01/2022,10/31/2022,ip,27.2517,2.4921,1.2675,0.5908,0.3867
55+ years,34,10/01/2022,10/31/2022,ed,43.2973,1.195,0.7191,0.4935,0.1128
0-15 years,35,11/01/2022,11/30/2022,ip,7.6558,0.7379,0.2504,0.7511,0.1977
0-15 years,35,11/01/2022,11/30/2022,ed,3.3666,0.0088,0.0176,0.1434,0.0059
16-34 years,35,11/01/2022,11/30/2022,ip,27.1304,4.7323,3.2023,5.3371,1.2453
16-34 years,35,11/01/2022,11/30/2022,ed,25.9212,1.341,1.1412,2.6052,0.1768
35-54 years,35,11/01/2022,11/30/2022,ip,36.4726,6.389,5.6634,2.8869,1.0412
35-54 years,35,11/01/2022,11/30/2022,ed,40.4196,2.7038,2.1897,1.7352,0.2295
55+ years,35,11/01/2022,11/30/2022,ip,27.0713,2.5048,1.2068,0.5578,0.4208
55+ years,35,11/01/2022,11/30/2022,ed,41.7612,1.1998,0.6545,0.4472,0.1091
